| 0001 | {{#icon:001}} | [[Bisasam]] | Bulbasaur | Bulbizarre | {{Ruby|フシギダネ|Fushigidane}} | {{Ruby|이상해씨|Isanghessi}} | {{Ruby|妙蛙種子 / 妙蛙种子|Miàowāzhǒngzǐ}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0017 | {{#icon:017}} | [[Tauboga]] | Pidgeotto | Roucoups | {{Ruby|ピジョン|Pigeon}} | {{Ruby|피죤|Pijon}} | {{Ruby|比比鳥 / 比比鸟|Bǐbǐniǎo}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0018 | {{#icon:018}} | [[Tauboss]] | Pidgeot | Roucarnage | {{Ruby|ピジョット|Pigeot}} | {{Ruby|피죤투|Pijontoo}} | {{Ruby|大比鳥 / 大比鸟|Dàbǐniǎo}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0019 | {{#icon:019}} | [[Rattfratz]] | Rattata | Rattata | {{Ruby|コラッタ|Koratta}} | {{Ruby|꼬렛|Koret}} | {{Ruby|小拉達 / 小拉达|Xiǎolādá}} | {{#ic:Normal}}
| 0020 | {{#icon:020}} | [[Rattikarl]] | Raticate | Rattatac | {{Ruby|ラッタ|Ratta}} | {{Ruby|레트라|Retra}} | {{Ruby|拉達 / 拉达|Lādá}} | {{#ic:Normal}}
| 0021 | {{#icon:021}} | [[Habitak]] | Spearow | Piafabec | {{Ruby|オニスズメ|Onisuzume}} | {{Ruby|깨비참|Kebicham}} | {{Ruby|烈雀 / 烈雀|Lièquè}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0022 | {{#icon:022}} | [[Ibitak]] | Fearow | Rapasdepic | {{Ruby|オニドリル|Onidrill}} | {{Ruby|깨비드릴조|Kebidrillzo}} | {{Ruby|大嘴雀 / 大嘴雀|Dàzuǐquè}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0023 | {{#icon:023}} | [[Rettan]] | Ekans | Abo | {{Ruby|アーボ|Arbo}} | {{Ruby|아보|Abo}} | {{Ruby|阿柏蛇 / 阿柏蛇|Ābóshé}} | {{#ic:Gift}}
| 0024 | {{#icon:024}} | [[Arbok]] | Arbok | Arbok | {{Ruby|アーボック|Arbok}} | {{Ruby|아보크|Abok}} | {{Ruby|阿柏怪 / 阿柏怪|Ābóguài}} | {{#ic:Gift}}
| 0025 | {{#icon:025}} | [[Pikachu]] | Pikachu | Pikachu | {{Ruby|ピカチュウ|Pikachu}} | {{Ruby|피카츄|Pikachu}} | {{Ruby|皮卡丘 / 皮卡丘|Píkǎqiū}} | {{#ic:Elektro}}
| 0026 | {{#icon:026}} | [[Raichu]] | Raichu | Raichu | {{Ruby|ライチュウ|Raichu}} | {{Ruby|라이츄|Raichu}} | {{Ruby|雷丘 / 雷丘|Léiqiū}} | {{#ic:Elektro}}
| 0027 | {{#icon:027}} | [[Sandan]] | Sandshrew | Sabelette | {{Ruby|サンド|Sand}} | {{Ruby|모래두지|Moreduji}} | {{Ruby|穿山鼠 / 穿山鼠|Chuānshānshǔ}} | {{#ic:Boden}}
| 0028 | {{#icon:028}} | [[Sandamer]] | Sandslash | Sablaireau | {{Ruby|サンドパン|Sandpan}} | {{Ruby|고지|Koji}} | {{Ruby|穿山王 / 穿山王|Chuānshānwáng}} | {{#ic:Boden}}
| 0029 | {{#icon:029}} | [[Nidoran♀]] | Nidoran♀ | Nidoran♀ | {{Ruby|ニドラン♀|Nidoran♀}} | {{Ruby|니드런♀|Nidoran♀}} | {{Ruby|尼多蘭 / 尼多兰|Níduōlán}} | {{#ic:Gift}}
| 0030 | {{#icon:030}} | [[Nidorina]] | Nidorina | Nidorina | {{Ruby|ニドリーナ|Nidorina}} | {{Ruby|니드리나|Nidorina}} | {{Ruby|尼多娜 / 尼多娜|Níduōnà}} | {{#ic:Gift}}
| 0031 | {{#icon:031}} | [[Nidoqueen]] | Nidoqueen | Nidoqueen | {{Ruby|ニドクイン|Nidoqueen}} | {{Ruby|니드퀸|Nidoqueen}} | {{Ruby|尼多后 / 尼多后|Níduōhòu}} | {{#ic:Gift}}&nbsp;{{#ic:Boden}}
| 0032 | {{#icon:032}} | [[Nidoran♂]] | Nidoran♂ | Nidoran♂ | {{Ruby|ニドラン♂|Nidoran♂}} | {{Ruby|니드런♂|Nidoran♂}} | {{Ruby|尼多朗 / 尼多朗|Níduōláng}} | {{#ic:Gift}}
| 0033 | {{#icon:033}} | [[Nidorino]] | Nidorino | Nidorino | {{Ruby|ニドリーノ|Nidorino}} | {{Ruby|니드리노|Nidorino}} | {{Ruby|尼多力諾 / 尼多力诺|Níduōlìnuò}} | {{#ic:Gift}}
| 0034 | {{#icon:034}} | [[Nidoking]] | Nidoking | Nidoking | {{Ruby|ニドキング|Nidoking}} | {{Ruby|니드킹|Nidoking}} | {{Ruby|尼多王 / 尼多王|Níduōwáng}} | {{#ic:Gift}}&nbsp;{{#ic:Boden}}
| 0035 | {{#icon:035}} | [[Piepi]] | Clefairy | Mélofée | {{Ruby|ピッピ|Pippi}} | {{Ruby|삐삐|Ppippi}} | {{Ruby|皮皮 / 皮皮|Pípí}} | {{#ic:Fee}}
| 0036 | {{#icon:036}} | [[Pixi]] | Clefable | Mélodelfe | {{Ruby|ピクシー|Pixy}} | {{Ruby|픽시|Pixy}} | {{Ruby|皮可西 / 皮可西|Píkěxī}} | {{#ic:Fee}}
| 0037 | {{#icon:037}} | [[Vulpix]] | Vulpix | Goupix | {{Ruby|ロコン|Rokon}} | {{Ruby|식스테일|Sixtail}} | {{Ruby|六尾 / 六尾|Liùwěi}} | {{#ic:Feuer}}
| 0038 | {{#icon:038}} | [[Vulnona]] | Ninetales | Feunard | {{Ruby|キュウコン|Kyukon}} | {{Ruby|나인테일|Ninetail}} | {{Ruby|九尾 / 九尾|Jiǔwěi}} | {{#ic:Feuer}}
| 0039 | {{#icon:039}} | [[Pummeluff]] | Jigglypuff | Rondoudou | {{Ruby|プリン|Purin}} | {{Ruby|푸린|Purin}} | {{Ruby|胖丁 / 胖丁|Pàngdīng}} | {{#ic:Normal}}&nbsp;{{#ic:Fee}}
| 0040 | {{#icon:040}} | [[Knuddeluff]] | Wigglytuff | Grodoudou | {{Ruby|プクリン|Pukurin}} | {{Ruby|푸크린|Pukurin}} | {{Ruby|胖可丁 / 胖可丁|Pàngkědīng}} | {{#ic:Normal}}&nbsp;{{#ic:Fee}}
| 0041 | {{#icon:041}} | [[Zubat]] | Zubat | Nosferapti | {{Ruby|ズバット|Zubat}} | {{Ruby|주뱃|Zubat}} | {{Ruby|超音蝠 / 超音蝠|Chāoyīnfú}} | {{#ic:Gift}}&nbsp;{{#ic:Flug}}
| 0042 | {{#icon:042}} | [[Golbat]] | Golbat | Nosferalto | {{Ruby|ゴルバット|Golbat}} | {{Ruby|골뱃|Golbat}} | {{Ruby|大嘴蝠 / 大嘴蝠|Dàzuǐfú}} | {{#ic:Gift}}&nbsp;{{#ic:Flug}}
| 0043 | {{#icon:043}} | [[Myrapla]] | Oddish | Mystherbe | {{Ruby|ナゾノクサ|Nazonokusa}} | {{Ruby|뚜벅쵸|Ttubeogcho}} | {{Ruby|走路草 / 走路草|Zǒulùcǎo}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0044 | {{#icon:044}} | [[Duflor]] | Gloom | Ortide | {{Ruby|クサイハナ|Kusaihana}} | {{Ruby|냄새꼬|Naemsaeko}} | {{Ruby|臭臭花 / 臭臭花|Chòuchòuhuā}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0045 | {{#icon:045}} | [[Giflor]] | Vileplume | Rafflesia | {{Ruby|ラフレシア|Ruffresia}} | {{Ruby|라플레시아|Raplresia}} | {{Ruby|霸王花 / 霸王花|Bàwánghuā}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0046 | {{#icon:046}} | [[Paras]] | Paras | Paras | {{Ruby|パラス|Paras}} | {{Ruby|파라스|Paras}} | {{Ruby|派拉斯 / 派拉斯|Pàilāsī}} | {{#ic:Käfer}}&nbsp;{{#ic:Pflanze}}
| 0047 | {{#icon:047}} | [[Parasek]] | Parasect | Parasect | {{Ruby|パラセクト|Parasect}} | {{Ruby|파라섹트|Parasect}} | {{Ruby|派拉斯特 / 派拉斯特|Pàilāsītè}} | {{#ic:Käfer}}&nbsp;{{#ic:Pflanze}}
| 0048 | {{#icon:048}} | [[Bluzuk]] | Venonat | Mimitoss | {{Ruby|コンパン|Kongpang}} | {{Ruby|콘팡|Konpan}} | {{Ruby|毛球 / 毛球|Máoqiú}} | {{#ic:Käfer}}&nbsp;{{#ic:Gift}}
| 0049 | {{#icon:049}} | [[Omot]] | Venomoth | Aéromite | {{Ruby|モルフォン|Morphon}} | {{Ruby|도나리|Donari}} | {{Ruby|摩魯蛾 / 摩鲁蛾|Mólǔ'é}} | {{#ic:Käfer}}&nbsp;{{#ic:Gift}}
| 0050 | {{#icon:050}} | [[Digda]] | Diglett | Taupiqueur | {{Ruby|ディグダ|Digda}} | {{Ruby|디그다|Digda}} | {{Ruby|地鼠 / 地鼠|Dìshǔ}} | {{#ic:Boden}}
| 0051 | {{#icon:051}} | [[Digdri]] | Dugtrio | Triopikeur | {{Ruby|ダグトリオ|Dugtrio}} | {{Ruby|닥트리오|Daktrio}} | {{Ruby|三地鼠 / 三地鼠|Sāndìshǔ}} | {{#ic:Boden}}
| 0052 | {{#icon:052}} | [[Mauzi]] | Meowth | Miaouss | {{Ruby|ニャース|Nyarth}} | {{Ruby|나옹|Naong}} | {{Ruby|喵喵 / 喵喵|Miāomiāo}} | {{#ic:Normal}}
| 0053 | {{#icon:053}} | [[Snobilikat]] | Persian | Persian | {{Ruby|ペルシアン|Persian}} | {{Ruby|페르시온|Persion}} | {{Ruby|貓老大 / 猫老大|Māolǎodà}} | {{#ic:Normal}}
| 0054 | {{#icon:054}} | [[Enton]] | Psyduck | Psykokwak | {{Ruby|コダック|Koduck}} | {{Ruby|고라파덕|Gorapaduck}} | {{Ruby|可達鴨 / 可达鸭|Kědáyā}} | {{#ic:Wasser}}
| 0055 | {{#icon:055}} | [[Entoron]] | Golduck | Akwakwak | {{Ruby|ゴルダック|Golduck}} | {{Ruby|골덕|Golduck}} | {{Ruby|哥達鴨 / 哥达鸭|Gēdáyā}} | {{#ic:Wasser}}
| 0056 | {{#icon:056}} | [[Menki]] | Mankey | Férosinge | {{Ruby|マンキー|Mankey}} | {{Ruby|망키|Mankey}} | {{Ruby|猴怪 / 猴怪|Hóuguài}} | {{#ic:Kampf}}
| 0057 | {{#icon:057}} | [[Rasaff]] | Primeape | Colossinge | {{Ruby|オコリザル|Okorizaru}} | {{Ruby|성원숭|Seongwonsung}} | {{Ruby|火爆猴 / 火爆猴|Huǒbàohóu}} | {{#ic:Kampf}}
| 0058 | {{#icon:058}} | [[Fukano]] | Growlithe | Caninos | {{Ruby|ガーディ|Gardie}} | {{Ruby|가디|Gadi}} | {{Ruby|卡蒂狗 / 卡蒂狗|Kǎdìgǒu}} | {{#ic:Feuer}}
| 0059 | {{#icon:059}} | [[Arkani]] | Arcanine | Arcanin | {{Ruby|ウインディ|Windie}} | {{Ruby|윈디|Windi}} | {{Ruby|風速狗 / 风速狗|Fēngsùgǒu}} | {{#ic:Feuer}}
| 0060 | {{#icon:060}} | [[Quapsel]] | Poliwag | Ptitard | {{Ruby|ニョロモ|Nyoromo}} | {{Ruby|발챙이|Balchengi}} | {{Ruby|蚊香蝌蚪 / 蚊香蝌蚪|Wénxiāngkēdǒu}} | {{#ic:Wasser}}
| 0061 | {{#icon:061}} | [[Quaputzi]] | Poliwhirl | Têtarte | {{Ruby|ニョロゾ|Nyorozo}} | {{Ruby|슈륙챙이|Shuryukchengi}} | {{Ruby|蚊香君 / 蚊香君|Wénxiāngjūn}} | {{#ic:Wasser}}
| 0062 | {{#icon:062}} | [[Quappo]] | Poliwrath | Tartard | {{Ruby|ニョロボン|Nyorobon}} | {{Ruby|강챙이|Gangchaengi}} | {{Ruby|蚊香泳士 / 蚊香泳士|Wénxiāngyǒngshì}} | {{#ic:Wasser}}&nbsp;{{#ic:Kampf}}
| 0063 | {{#icon:063}} | [[Abra]] | Abra | Abra | {{Ruby|ケーシィ|Casey}} | {{Ruby|캐이시|Keisi}} | {{Ruby|凱西 / 凯西|Kǎixī}} | {{#ic:Psycho}}
| 0064 | {{#icon:064}} | [[Kadabra]] | Kadabra | Kadabra | {{Ruby|ユンゲラー|Yungerer}} | {{Ruby|윤겔라|Yunghelar}} | {{Ruby|勇基拉 / 勇基拉|Yǒngjīlā}} | {{#ic:Psycho}}
| 0065 | {{#icon:065}} | [[Simsala]] | Alakazam | Alakazam | {{Ruby|フーディン|Foodin}} | {{Ruby|후딘|Fudin}} | {{Ruby|胡地 / 胡地|Húdì}} | {{#ic:Psycho}}
| 0066 | {{#icon:066}} | [[Machollo]] | Machop | Machoc | {{Ruby|ワンリキー|Wanriky}} | {{Ruby|알통몬|Altongmon}} | {{Ruby|腕力 / 腕力|Wànlì}} | {{#ic:Kampf}}
| 0067 | {{#icon:067}} | [[Maschock]] | Machoke | Machopeur | {{Ruby|ゴーリキー|Goriky}} | {{Ruby|근육몬|Geunyukmon}} | {{Ruby|豪力 / 豪力|Háolì}} | {{#ic:Kampf}}
| 0068 | {{#icon:068}} | [[Machomei]] | Machamp | Mackogneur | {{Ruby|カイリキー|Kairiky}} | {{Ruby|괴력몬|Goeryeokmon}} | {{Ruby|怪力 / 怪力|Guàilì}} | {{#ic:Kampf}}
| 0069 | {{#icon:069}} | [[Knofensa]] | Bellsprout | Chétiflor | {{Ruby|マダツボミ|Madatsubomi}} | {{Ruby|모다피|Modapi}} | {{Ruby|喇叭芽 / 喇叭芽|Lǎbāyá}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0070 | {{#icon:070}} | [[Ultrigaria]] | Weepinbell | Boustiflor | {{Ruby|ウツドン|Utsudon}} | {{Ruby|우츠동|Uchudon}} | {{Ruby|口呆花 / 口呆花|Kǒudāihuā}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0071 | {{#icon:071}} | [[Sarzenia]] | Victreebel | Empiflor | {{Ruby|ウツボット|Utsubot}} | {{Ruby|우츠보트|Uchubot}} | {{Ruby|大食花 / 大食花|Dàshíhuā}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0072 | {{#icon:072}} | [[Tentacha]] | Tentacool | Tentacool | {{Ruby|メノクラゲ|Menokurage}} | {{Ruby|왕눈해|Wangnunhe}} | {{Ruby|瑪瑙水母 / 玛瑙水母|Mǎnǎoshuǐmǔ}} | {{#ic:Wasser}}&nbsp;{{#ic:Gift}}
| 0073 | {{#icon:073}} | [[Tentoxa]] | Tentacruel | Tentacruel | {{Ruby|ドククラゲ|Dokukurage}} | {{Ruby|독파리|Tokpari}} | {{Ruby|毒刺水母 / 毒刺水母|Dúcìshuǐmǔ}} | {{#ic:Wasser}}&nbsp;{{#ic:Gift}}
| 0074 | {{#icon:074}} | [[Kleinstein]] | Geodude | Racaillou | {{Ruby|イシツブテ|Isitsubute}} | {{Ruby|꼬마돌|Kkomadol}} | {{Ruby|小拳石 / 小拳石|Xiǎoquánshí}} | {{#ic:Gestein}}&nbsp;{{#ic:Boden}}
| 0075 | {{#icon:075}} | [[Georok]] | Graveler | Gravalanch | {{Ruby|ゴローン|Golone}} | {{Ruby|데구리|Deguri}} | {{Ruby|隆隆石 / 隆隆石|Lónglóngshí}} | {{#ic:Gestein}}&nbsp;{{#ic:Boden}}
| 0076 | {{#icon:076}} | [[Geowaz]] | Golem | Grolem | {{Ruby|ゴローニャ|Golonya}} | {{Ruby|딱구리|Ttakguri}} | {{Ruby|隆隆岩 / 隆隆岩|Lónglóngyán}} | {{#ic:Gestein}}&nbsp;{{#ic:Boden}}
| 0077 | {{#icon:077}} | [[Ponita]] | Ponyta | Ponyta | {{Ruby|ポニータ|Ponyta}} | {{Ruby|포니타|Ponyta}} | {{Ruby|小火馬 / 小火马|Xiǎohuǒmǎ}} | {{#ic:Feuer}}
| 0078 | {{#icon:078}} | [[Gallopa]] | Rapidash | Galopa | {{Ruby|ギャロップ|Gallop}} | {{Ruby|날쌩마|Nalssengma}} | {{Ruby|烈焰馬 / 烈焰马|Lièyànmǎ}} | {{#ic:Feuer}}
| 0079 | {{#icon:079}} | [[Flegmon]] | Slowpoke | Ramoloss | {{Ruby|ヤドン|Yadon}} | {{Ruby|야돈|Yadon}} | {{Ruby|呆呆獸 / 呆呆兽|Dāidāishòu}} | {{#ic:Wasser}}&nbsp;{{#ic:Psycho}}
| 0080 | {{#icon:080}} | [[Lahmus]] | Slowbro | Flagadoss | {{Ruby|ヤドラン|Yadoran}} | {{Ruby|야도란|Yadonran}} | {{Ruby|呆殼獸 / 呆壳兽|Dāikéshòu}} | {{#ic:Wasser}}&nbsp;{{#ic:Psycho}}
| 0081 | {{#icon:081}} | [[Magnetilo]] | Magnemite | Magnéti | {{Ruby|コイル|Coil}} | {{Ruby|코일|Koil}} | {{Ruby|小磁怪 / 小磁怪|Xiǎocíguài}} | {{#ic:Elektro}}&nbsp;{{#ic:Stahl}}
| 0082 | {{#icon:082}} | [[Magneton]] | Magneton | Magnéton | {{Ruby|レアコイル|Rarecoil}} | {{Ruby|레어코일|Rarekoil}} | {{Ruby|三合一磁怪 / 三合一磁怪|Sānhéyīcíguài}} | {{#ic:Elektro}}&nbsp;{{#ic:Stahl}}
| 0083 | {{#icon:083}} | [[Porenta]] | Farfetch’d | Canarticho | {{Ruby|カモネギ|Kamonegi}} | {{Ruby|파오리|Paori}} | {{Ruby|大蔥鴨 / 大葱鸭|Dàcōngyā}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0084 | {{#icon:084}} | [[Dodu]] | Doduo | Doduo | {{Ruby|ドードー|Dodo}} | {{Ruby|두두|Dudu}} | {{Ruby|嘟嘟 / 嘟嘟|Dūdū}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0085 | {{#icon:085}} | [[Dodri]] | Dodrio | Dodrio | {{Ruby|ドードリオ|Dodorio}} | {{Ruby|두트리오|Dutrio}} | {{Ruby|嘟嘟利 / 嘟嘟利|Dūdūlì}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0086 | {{#icon:086}} | [[Jurob]] | Seel | Otaria | {{Ruby|パウワウ|Pawou}} | {{Ruby|쥬쥬|Juju}} | {{Ruby|小海獅 / 小海狮|Xiǎohǎishī}} | {{#ic:Wasser}}
| 0087 | {{#icon:087}} | [[Jugong]] | Dewgong | Lamantine | {{Ruby|ジュゴン|Jugon}} | {{Ruby|쥬레곤|Juregon}} | {{Ruby|白海獅 / 白海狮|Báihǎishī}} | {{#ic:Wasser}}&nbsp;{{#ic:Eis}}
| 0088 | {{#icon:088}} | [[Sleima]] | Grimer | Tadmorv | {{Ruby|ベトベター|Betbeter}} | {{Ruby|질퍽이|Jilpeogi}} | {{Ruby|臭泥 / 臭泥|Chòuní}} | {{#ic:Gift}}
| 0089 | {{#icon:089}} | [[Sleimok]] | Muk | Grotadmorv | {{Ruby|ベトベトン|Betbeton}} | {{Ruby|질뻐기|Jilppeogi}} | {{Ruby|臭臭泥 / 臭臭泥|Chòuchòuní}} | {{#ic:Gift}}
| 0090 | {{#icon:090}} | [[Muschas]] | Shellder | Kokiyas | {{Ruby|シェルダー|Shellder}} | {{Ruby|셀러|Sellor}} | {{Ruby|大舌貝 / 大舌贝|Dàshébèi}} | {{#ic:Wasser}}
| 0091 | {{#icon:091}} | [[Austos]] | Cloyster | Crustabri | {{Ruby|パルシェン|Parshen}} | {{Ruby|파르셀|Parsell}} | {{Ruby|刺甲貝 / 刺甲贝|Cìjiǎbèi}} | {{#ic:Wasser}}&nbsp;{{#ic:Eis}}
| 0092 | {{#icon:092}} | [[Nebulak]] | Gastly | Fantominus | {{Ruby|ゴース|Ghos}} | {{Ruby|고오스|Goohs}} | {{Ruby|鬼斯 / 鬼斯|Guǐsī}} | {{#ic:Geist}}&nbsp;{{#ic:Gift}}
| 0093 | {{#icon:093}} | [[Alpollo]] | Haunter | Spectrum | {{Ruby|ゴースト|Ghost}} | {{Ruby|고우스트|Goust}} | {{Ruby|鬼斯通 / 鬼斯通|Guǐsītōng}} | {{#ic:Geist}}&nbsp;{{#ic:Gift}}
| 0094 | {{#icon:094}} | [[Gengar]] | Gengar | Ectoplasma | {{Ruby|ゲンガー|Gangar}} | {{Ruby|팬텀|Penteom}} | {{Ruby|耿鬼 / 耿鬼|Gěngguǐ}} | {{#ic:Geist}}&nbsp;{{#ic:Gift}}
| 0095 | {{#icon:095}} | [[Onix]] | Onix | Onix | {{Ruby|イワーク|Iwark}} | {{Ruby|롱스톤|Rongston}} | {{Ruby|大岩蛇 / 大岩蛇|Dàyánshé}} | {{#ic:Gestein}}&nbsp;{{#ic:Boden}}
| 0096 | {{#icon:096}} | [[Traumato]] | Drowzee | Soporifik | {{Ruby|スリープ|Sleepe}} | {{Ruby|슬리프|Sllip}} | {{Ruby|催眠貘 / 催眠貘|Cuīmiánmò}} | {{#ic:Psycho}}
| 0097 | {{#icon:097}} | [[Hypno]] | Hypno | Hypnomade | {{Ruby|スリーパー|Sleeper}} | {{Ruby|슬리퍼|Slliper}} | {{Ruby|引夢貘人 / 引梦貘人|Yǐnmèngmòrén}} | {{#ic:Psycho}}
| 0098 | {{#icon:098}} | [[Krabby]] | Krabby | Krabby | {{Ruby|クラブ|Crab}} | {{Ruby|크랩|Kreb}} | {{Ruby|大鉗蟹 / 大钳蟹|Dàqiánxiè}} | {{#ic:Wasser}}
| 0099 | {{#icon:099}} | [[Kingler]] | Kingler | Krabboss | {{Ruby|キングラー|Kingler}} | {{Ruby|킹크랩|Kingkreb}} | {{Ruby|巨鉗蟹 / 巨钳蟹|Jùqiánxiè}} | {{#ic:Wasser}}
| 0100 | {{#icon:100}} | [[Voltobal]] | Voltorb | Voltorbe | {{Ruby|ビリリダマ|Biriridama}} | {{Ruby|찌리리공|Zzililigong}} | {{Ruby|霹靂電球 / 霹雳电球|Pīlìdiànqiú}} | {{#ic:Elektro}}
| 0101 | {{#icon:101}} | [[Lektrobal]] | Electrode | Électrode | {{Ruby|マルマイン|Marumine}} | {{Ruby|붐볼|Boomball}} | {{Ruby|頑皮雷彈 / 顽皮雷弹|Wánpíléidàn}} | {{#ic:Elektro}}
| 0102 | {{#icon:102}} | [[Owei]] | Exeggcute | Noeunoeuf | {{Ruby|タマタマ|Tamatama}} | {{Ruby|아라리|Arari}} | {{Ruby|蛋蛋 / 蛋蛋|Dàndàn}} | {{#ic:Pflanze}}&nbsp;{{#ic:Psycho}}
| 0103 | {{#icon:103}} | [[Kokowei]] | Exeggutor | Noadkoko | {{Ruby|ナッシー|Nassy}} | {{Ruby|나시|Nasi}} | {{Ruby|椰蛋樹 / 椰蛋树|Yēdànshù}} | {{#ic:Pflanze}}&nbsp;{{#ic:Psycho}}
| 0104 | {{#icon:104}} | [[Tragosso]] | Cubone | Osselait | {{Ruby|カラカラ|Karakara}} | {{Ruby|탕구리|Tangguri}} | {{Ruby|卡拉卡拉 / 卡拉卡拉|Kǎlākǎlā}} | {{#ic:Boden}}
